id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bald,bald,Bald,https://coin-images.coingecko.com/coins/images/31119/large/cdjxKSjo_400x400.jpg?1696529949,0.00951537,9515368,1188,9515368,5.15,0.00956538,0.00940431,4.614e-05,0.48724,-267855.4510796927,-2.73791,1000000000.0,1000000000.0,,0.093869,-89.86313,2023-07-31T12:28:01.460Z,0.00127508,646.25798,2023-07-31T20:07:48.026Z,,2026-06-19T20:23:03.738Z
dexsport,desu,Dexsport,https://coin-images.coingecko.com/coins/images/20583/large/desu.png?1696519990,0.01625741,9513078,1190,9513078,3230.97,0.01638724,0.01622907,-8.6096108384521e-05,-0.52679,-61033.450025469065,-0.63748,585000000.0,585000000.0,1000000000.0,0.349288,-95.34325,2021-11-18T22:38:53.178Z,0.0007037,2211.42957,2024-08-05T13:43:50.052Z,,2026-06-20T00:04:43.054Z
rupiah-token,idrt,Rupiah Token,https://coin-images.coingecko.com/coins/images/9441/large/57421944_1371636006308255_3647136573922738176_n.jpg?1696509533,5.469e-05,9508263,1189,9508263,7.9,5.47e-05,5.456e-05,-1.0114132005e-08,-0.01849,-44231.71813059598,-0.46304,173856905811.0,173856905811.0,,0.00026862,-79.64026,2020-04-16T07:49:07.030Z,6.7512e-08,80908.31076,2020-05-27T14:35:44.312Z,,2026-06-20T00:04:47.017Z
openeden,eden,OpenEden,https://coin-images.coingecko.com/coins/images/68283/large/eden.png?1755242478,0.051761,9494953,1191,51639488,27293987.0,0.057033,0.04897563,-0.002729942333417723,-5.00986,-440741.3718481194,-4.43594,183870000.0,1000000000.0,1000000000.0,1.31,-96.05779,2025-09-30T10:11:33.729Z,0.02588362,99.94532,2026-03-30T00:56:03.003Z,,2026-06-20T00:04:46.201Z
mitosis,mito,Mitosis,https://coin-images.coingecko.com/coins/images/68355/large/mitosis.png?1755444906,0.0267864,9449427,1192,26794217,11199494.0,0.02825236,0.02448321,0.00151649,6.00117,531809.0,5.96358,352666670.0,1000000000.0,1000000000.0,0.409311,-93.45358,2025-09-14T18:56:04.392Z,0.01716862,56.07086,2026-06-13T11:35:49.362Z,,2026-06-20T00:04:46.123Z
wazirx,wrx,WazirX,https://coin-images.coingecko.com/coins/images/10547/large/WazirX.png?1696510532,0.02074708,9443869,1193,20686784,5681.32,0.02106529,0.02037961,0.00010464,0.50693,-139906.5218185112,-1.45983,456517027.3318671,1000000000.0,,5.88,-99.6481,2021-04-05T06:58:37.399Z,0.01565274,32.16081,2024-12-25T02:59:46.502Z,"{'times': 0.0373539826326795, 'currency': 'usd', 'percentage': 3.73539826326795}",2026-06-20T00:04:42.358Z
clash-of-lilliput,col,Clash of Lilliput,https://coin-images.coingecko.com/coins/images/26070/large/col.png?1696525154,0.115012,9439551,1197,115012118,3146.43,0.114578,0.112465,0.00197592,1.74804,164402.0,1.7725,82074400.0,1000000000.0,1000000000.0,5.12,-97.75494,2024-12-12T04:36:17.512Z,0.100384,14.57257,2025-06-23T01:40:15.550Z,,2026-06-20T00:04:43.262Z
lobster-2,龙虾,龙虾 (Lobster),https://coin-images.coingecko.com/coins/images/102172215/large/bvnt2zqtx33e6at5pm5marta4070.?1772252895,0.00944305,9430914,1195,9430914,990797.0,0.00967475,0.00914066,0.00020612,2.23142,131404.0,1.41302,1000000000.0,1000000000.0,1000000000.0,0.02677199,-64.77124,2026-03-12T10:00:49.620Z,0.00145753,547.08495,2026-02-28T17:08:30.607Z,,2026-06-20T00:04:52.173Z
apex-5,sn1,Apex,https://coin-images.coingecko.com/coins/images/66332/large/sn1.png?1749235321,2.09,9410870,1194,9410870,147167.0,2.16,2.03,-0.07172844226478503,-3.3232,-351734.8820849862,-3.60288,4521769.657637882,4521769.657637882,21000000.0,12.58,-83.45231,2025-06-10T11:45:36.657Z,1.49,39.7349,2026-02-11T20:36:16.855Z,,2026-06-20T00:04:45.691Z
simon-s-cat,cat,Simon's Cat,https://coin-images.coingecko.com/coins/images/39765/large/Dv9GheV0_400x400.jpg?1756951559,1.39e-06,9410038,1196,11289952,2069702.0,1.42e-06,1.37e-06,-1.0433061799e-08,-0.7429,-69150.05624516681,-0.72949,6749783055123.635,8098237710343.852,9000000000000.0,6.811e-05,-97.95496,2024-12-16T18:15:31.061Z,1.37e-06,1.89062,2026-06-18T18:00:55.643Z,,2026-06-20T00:04:44.869Z
hana-network,hana,Hana Network,https://coin-images.coingecko.com/coins/images/67597/large/hana.jpg?1753245208,0.03916083,9384418,1205,39101742,2129185.0,0.04020191,0.03797902,-0.000909096523545407,-2.26878,-227033.97482238524,-2.36212,240000000.0,1000000000.0,1000000000.0,0.245444,-84.06964,2025-09-26T11:26:58.407Z,0.00870609,349.1117,2025-12-18T20:00:28.286Z,,2026-06-20T00:04:46.107Z
tg-casino,tgc,TG.Casino,https://coin-images.coingecko.com/coins/images/34473/large/TGC_Logo_200x200.png?1704998035,0.121703,9376976,1200,9376976,22340.0,0.123528,0.120081,-0.001113232571586312,-0.90642,-84794.37392912433,-0.89618,76999998.99983217,76999998.99983217,100000000.0,0.860984,-85.8625,2024-02-11T08:45:33.331Z,0.080208,51.75716,2025-04-04T11:36:25.061Z,,2026-06-20T00:04:43.997Z
